I0424 09:55:54.286327       1 log.go:245] FLAG: --add-dir-header="false"
I0424 09:55:54.286442       1 log.go:245] FLAG: --alsologtostderr="false"
I0424 09:55:54.286451       1 log.go:245] FLAG: --burst="1000000"
I0424 09:55:54.286458       1 log.go:245] FLAG: --bypass-validating-webhook-xray="false"
I0424 09:55:54.286464       1 log.go:245] FLAG: --cluster-name=""
I0424 09:55:54.286470       1 log.go:245] FLAG: --default-seccomp-profile-type="RuntimeDefault"
I0424 09:55:54.287370       1 log.go:245] FLAG: --docker-registry="kubevault"
I0424 09:55:54.287376       1 log.go:245] FLAG: --gen-rotate-tls-recommendation-before-expiry-day="0"
I0424 09:55:54.287382       1 log.go:245] FLAG: --gen-rotate-tls-recommendation-before-expiry-month="1"
I0424 09:55:54.287386       1 log.go:245] FLAG: --gen-rotate-tls-recommendation-before-expiry-year="0"
I0424 09:55:54.287392       1 log.go:245] FLAG: --health-probe-bind-address=":8081"
I0424 09:55:54.287396       1 log.go:245] FLAG: --help="false"
I0424 09:55:54.287401       1 log.go:245] FLAG: --kubeconfig=""
I0424 09:55:54.287406       1 log.go:245] FLAG: --leader-elect="false"
I0424 09:55:54.287412       1 log.go:245] FLAG: --license-file="/var/run/secrets/appscode/license/key.txt"
I0424 09:55:54.287418       1 log.go:245] FLAG: --log-backtrace-at=":0"
I0424 09:55:54.287423       1 log.go:245] FLAG: --log-dir=""
I0424 09:55:54.287427       1 log.go:245] FLAG: --log-file=""
I0424 09:55:54.287432       1 log.go:245] FLAG: --log-file-max-size="1800"
I0424 09:55:54.287438       1 log.go:245] FLAG: --log-flush-frequency="5s"
I0424 09:55:54.287446       1 log.go:245] FLAG: --logtostderr="true"
I0424 09:55:54.287456       1 log.go:245] FLAG: --master=""
I0424 09:55:54.287464       1 log.go:245] FLAG: --metrics-bind-address=":8080"
I0424 09:55:54.287472       1 log.go:245] FLAG: --one-output="false"
I0424 09:55:54.287481       1 log.go:245] FLAG: --qps="1e+06"
I0424 09:55:54.287490       1 log.go:245] FLAG: --recommendation-resync-period="1h0m0s"
I0424 09:55:54.287521       1 log.go:245] FLAG: --resync-period="10m0s"
I0424 09:55:54.287536       1 log.go:245] FLAG: --skip-headers="false"
I0424 09:55:54.287545       1 log.go:245] FLAG: --skip-log-headers="false"
I0424 09:55:54.287553       1 log.go:245] FLAG: --stderrthreshold="2"
I0424 09:55:54.287562       1 log.go:245] FLAG: --use-kubeapiserver-fqdn-for-aks="true"
I0424 09:55:54.287577       1 log.go:245] FLAG: --v="3"
I0424 09:55:54.287587       1 log.go:245] FLAG: --vmodule=""
I0424 09:55:54.288530       1 operator.go:38] Starting operator version v0.20.0+3fec96d43c75bf82d04b78becda5f0e924482eb9 ...
W0424 09:55:54.288569       1 client_config.go:659] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
I0424 09:55:54.307305       1 lib.go:234] Kubernetes version: &version.Info{Major:"1", Minor:"30", GitVersion:"v1.30.4", GitCommit:"a51b3b711150f57ffc1f526a640ec058514ed596", GitTreeState:"clean", BuildDate:"2024-08-14T18:57:35Z", GoVersion:"go1.22.5", Compiler:"gc", Platform:"linux/amd64"}
I0424 09:55:54.334549       1 controller.go:207] ensuring CRD registration
I0424 09:55:57.772777       1 lib.go:292] Successfully verified license! Valid until: 16 May 25 14:50 UTC
I0424 09:55:57.777065       1 operator.go:311] "msg"="starting manager" "logger"="setup"
I0424 09:55:57.777190       1 server.go:208] "msg"="Starting metrics server" "logger"="controller-runtime.metrics"
I0424 09:55:57.777263       1 server.go:83] "msg"="starting server" "addr"="[::]:8081" "name"="health probe"
